음식ID,이름,탄,단,지
130,피자_대만 콘 치즈 감자 피자 슈화 더블치즈 페퍼로니 엣지 (L),27.85,11.63,13.25
131,피자_대만 콘 치즈 감자 피자 씬 (L),25.38,9.0,13.73
132,피자_대만 콘 치즈 감자 피자 오리지널 (L),30.45,9.3,10.89
133,피자_대만 콘 치즈 감자 피자 치즈버스트 나폴리 (L),23.96,10.0,13.59
134,피자_대만 콘 치즈 감자 피자 치즈버스트 오리지널 (L),28.33,9.0,11.96
135,피자_대만 콘 치즈 감자 피자 슈퍼시드 화이버 버스트 오리지널 (L),29.03,11.04,12.42
136,피자_대만 콘 치즈 감자 피자 더블치즈 엣지 (L),26.48,9.8,11.66
137,피자_대만 콘 치즈 감자 피자 슈퍼시드 화이버 엣지 오리지널 (L),28.24,11.14,9.14
138,피자_대왕페퍼로니 피자 (L),,13.66,
139,피자_대왕햄 피자 (L),,13.51,
140,피자_더블 치즈버거 피자 골드링 (F),,12.2,
141,피자_더블 치즈버거 피자 골드링 (L),,12.15,
142,피자_더블 치즈버거 피자 골드링 (P),,12.35,
143,피자_더블 치즈버거 피자 골드링씬 (F),,11.18,
144,피자_더블 치즈버거 피자 씬 (F),,12.25,
145,피자_더블 치즈버거 피자 오리지널 (F),,10.55,
146,피자_더블 치즈버거 피자 오리지널 (L),,10.65,
147,피자_뉴욕 오리진 피자 오리지널 (M),24.06,13.24,11.19
148,피자_뉴욕 오리진 피자 치즈버스트 나폴리 (L),,12.62,17.48
149,피자_뉴욕 오리진 피자 치즈버스트 오리지널 (L),21.32,12.47,10.94
150,피자_뉴욕베이컨체더 피자 (L),,5.94,
151,피자_뉴욕페퍼로니 피자,36.18,14.69,11.24
152,피자_니가가라하와이 피자 (L),,12.9,
153,피자_니가가라하와이 피자 (M),,12.9,
154,피자_단짠반반 피자 (L),,9.57,
155,피자_단짠반반 피자 (R),,9.95,
156,피자_단짠콘후라이 피자 (L),,11.57,
157,피자_단짠콘후라이 피자 (M),,11.46,
158,피자_달달고구마 피자 (L),,11.02,
159,피자_달달고구마 피자 (M),,10.64,
160,피자_달달옥수수 피자 씬 (L),,12.11,
161,피자_달콤불고기 피자,23.4,14.18,
162,피자_달콤옥수수 피자,,12.12,
163,피자_대만 콘 치즈 감자 피자 나폴리 (L),27.86,8.9,11.73
164,피자_대만 콘 치즈 감자 피자 더블치즈 페퍼로니 엣지 (L),25.58,10.32,13.27
165,피자_나이스투미트유 피자 (L),,15.97,
166,피자_노마진 불고기 피자,,16.2,10.08
167,피자_눈꽃치즈 피자 (L),,8.75,
168,피자_뉴욕 오리진 피자 나폴리 (L),21.97,11.6,12.74
169,피자_뉴욕 오리진 피자 나폴리 (M),21.31,12.87,11.91
170,피자_뉴욕 오리진 피자 더블치즈 페퍼로니 엣지 (L),,13.31,14.96
171,피자_뉴욕 오리진 피자 더블치즈 페퍼로니 엣지 (M),,14.13,13.38
172,피자_뉴욕 오리진 피자 더블치즈 엣지 (L),21.38,12.94,11.94
173,피자_뉴욕 오리진 피자 더블치즈 엣지 (M),25.84,13.84,11.66
174,피자_뉴욕 오리진 피자 슈퍼시드 화이버 버스트 오리지널 (L),21.35,14.13,14.18
175,피자_뉴욕 오리진 피자 슈퍼시드 화이버 엣지 오리지널 (L),20.49,14.22,11.34
176,피자_뉴욕 오리진 피자 슈퍼시드 화이버 엣지 오리지널 (M),,15.59,10.68
177,피자_뉴욕 오리진 피자 슈퍼시드 화이버 오리지널 (L),23.25,11.9,12.87
178,피자_뉴욕 오리진 피자 슈퍼시드 화이버 오리지널 (M),23.01,12.6,12.55
179,피자_뉴욕 오리진 피자 슈화 더블 치즈 페퍼로니 엣지 (L),20.38,14.56,14.89
180,피자_뉴욕 오리진 피자 슈화 더블 치즈 페퍼로니 엣지 (M),,15.84,14.97
181,피자_뉴욕 오리진 피자 씬 (L),,13.45,15.43
182,피자_뉴욕 오리진 피자 씬 (M),,14.66,16.16
183,피자_쉬림드보니토 피자 (R),,15.63,
184,피자_쉬림프&핫치킨골드 피자 (L),,13.91,
185,피자_쉬림프갈릭스노윙 피자,,14.18,
186,피자_쉬림프골드 피자 (L),,12.45,
187,피자_쉬림프 피자 골드 (L),,10.69,
188,피자_쉬림프골드 피자 (L),,14.57,
189,피자_쉬림프골드 피자 밀스크린 (L),,12.98,
190,피자_쉬림프골드 피자 밀스크린 (R),,17.71,
191,피자_쉬림프골드 피자 백미스크린 (L),,12.6,
192,피자_쉬림프골드 피자 백미스크린 (R),,17.2,
193,피자_쉬림프골드 피자 씬 (L),,13.73,
194,피자_쉬림프골드 피자 씬 (R),,18.99,
195,피자_쉬림프골드 피자 흑미스크린 (L),,12.6,
196,피자_새우파티 피자 치즈링 (L),,13.61,
197,피자_새우파티 피자 치즈링 (R),,13.9,
198,피자_새우 피자 (L),,6.38,
199,피자_샘스테이크 피자 골드스윗 (L),,14.38,
200,피자_샘스테이크 피자 리코타링 (L),,14.79,
201,피자_샘스테이크 피자 리코타링 (R),,15.26,
202,피자_샘스테이크 피자 석쇠 (R),,15.29,
203,피자_샘스테이크 피자 씬도우 (L),,13.37,
204,피자_샘스테이크 피자 씬도우 (R),,13.08,
205,피자_샘스테이크 피자 치즈링 (L),,15.28,
206,피자_샘스테이크 피자 치즈링 (R),,15.9,
207,피자_세뇨리따 피자 (L),,10.79,
208,피자_세뇨리따 피자 (M),,10.92,
209,피자_소고기로제스테이크커리 피자 (L),,18.0,
210,피자_소베페 피자 (L),,15.94,
211,피자_소세지 피자 (L),,7.79,
212,피자_소시지 피자 (XL),,13.5,
213,피자_소프트포테이토무스 피자 밀도우 (L),,4.88,
214,피자_소프트포테이토무스 피자 밀도우 (R),,3.26,
215,피자_새우천왕 피자 골드 (R),,11.76,
216,피자_새우천왕 피자 노엣지 오리진 (L),,12.5,
217,피자_새우천왕 피자 노엣지 오리진 (R),,12.5,
218,피자_새우천왕 피자 에그타르트 (L),,11.42,
219,피자_새우천왕 피자 에그타르트 (R),,10.78,
220,피자_새우천왕 피자 치즈캡 (L),,13.59,
221,피자_새우천왕 피자 치즈캡 (R),,13.5,
222,피자_새우천왕 피자 크림치즈 (L),,11.26,
223,피자_새우천왕 피자 크림치즈 (R),,11.43,
224,피자_새우콤비네이션 피자 (L),,5.32,
225,피자_새우파티 피자 골드스윗 (L),,12.9,
226,피자_새우파티 피자 골드스윗 (R),,12.63,
227,피자_새우파티 피자 리코타링 (L),,13.19,
228,피자_새우파티 피자 리코타링 (R),,13.19,
229,피자_새우파티 피자 석쇠 (L),,12.88,
230,피자_새우파티 피자 석쇠 (R),,12.96,
231,피자_새우파티 피자 씬도우 (L),,11.52,
232,피자_새우파티 피자 씬도우 (R),,12.12,
233,기타차_레몬페퍼민트티 아이스(ICED),5.54,0.05,0.02
234,피자_불닭쉬림프 피자 씬도우 (L),,8.6,
235,피자_불닭쉬림프 피자 씬도우 (R),,5.73,
236,피자_불닭 피자 (L),,15.53,
237,피자_불닭 피자 (L),,12.5,
238,피자_불닭 피자 (L),,14.92,
239,피자_불닭핫치킨 피자 (L),,15.18,
240,피자_불사조쉬림프 피자 (L),,14.44,
241,피자_브로스페셜콤비 피자 (L),,15.0,
242,피자_브루클린스테이크 피자,,6.17,
243,피자_블랙와규쉬림프 피자,,13.9,8.7
244,피자_블랙 페퍼 폭탄 피자,,13.66,
245,피자_블랙소세지핫도그 피자,,12.13,
246,피자_블랙앵거스 스테이크 피자 오리지널 (L),29.26,12.0,8.54
247,피자_블랙앵거스 스테이크 피자 트리플치즈버스트 엣지 (L),,11.18,
248,피자_블랙청양페퍼로니 피자,,18.52,
249,피자_블랙타이거슈림프 피자 오리지널 (L),31.61,11.0,6.94
250,피자_블랙타이거슈림프 피자 트리플치즈버스트 엣지 (L),,12.0,
251,피자_블록버스터4 피자 더블치즈 엣지 오리지널 (L),,12.5,
252,기타차_폼폼 유스베리티 (Grande),,0.0,
253,피자_불고기 피자 백미스크린치즈크러스트 (R),,13.95,
254,피자_불고기 피자 석쇠 (G),,14.5,
255,피자_불고기 피자 석쇠 (L),,15.06,
256,피자_불고기 피자 석쇠 (R),,14.63,
257,피자_불고기 피자 씬 (L),,16.05,
258,피자_불고기 피자 씬 (R),,15.0,
259,피자_불고기 피자 씬도우 (L),,13.99,
260,피자_불고기 피자 씬도우 (R),,14.0,
261,피자_불고기 피자 오리진 (L),,11.15,
262,피자_불고기 피자 오리진 (R),,12.98,
263,피자_불고기 피자 체다크림크러스트 (L),,13.49,
