음식ID,이름,탄,단,지
24109,기타 식육가공품_불에 직접 구운 전통떡갈비,16.0,13.0,15.0
24110,기타 식육가공품_비비고남도떡갈비,9.0,12.0,26.0
24111,기타 식육가공품_동그랑땡,12.0,11.0,21.0
24112,기타 식육가공품_동물복지 치킨 너겟 오리지널,4.0,18.0,18.0
24113,기타 식육가공품_동물복지 치킨 너겟 치즈,7.0,18.0,18.0
24114,기타 식육가공품_두번 튀겨 더욱 바삭한 한입치킨까스,12.0,15.0,12.0
24115,기타 식육가공품_뒷다리살로 만든 한돈 수제떡갈비,11.0,14.0,26.0
24116,기타 식육가공품_등심돈가스,20.0,14.0,2.7
24117,기타 식육가공품_등심돈까스,18.0,15.0,4.4
24118,기타 식육가공품_등심돈까스,17.0,16.0,1.9
24119,기타 식육가공품_딜리조이 치킨너겟,12.0,14.0,14.5
24120,기타 식육가공품_떡갈비,10.0,13.0,23.0
24121,기타 식육가공품_떡갈비맛닭가슴살함박스테이크,13.8,14.5,3.9
24122,기타 식육가공품_리얼 후라이드 순살치킨,12.0,12.0,11.0
24123,기타 식육가공품_리얼직화미니그릴함박,13.33,16.67,16.33
24124,기타 식육가공품_마늘숙성떡갈비,7.0,14.0,16.0
24125,기타 식육가공품_마니커에프앤지가슴속살텐더스틱,16.0,14.0,10.0
24126,기타 식육가공품_맛있닭 소스 닭가슴살 스테이크 로스트 갈릭,17.33,15.33,2.2
24127,기타 식육가공품_맛있닭 소스 닭가슴살 스테이크 매콤토마토,9.33,15.33,2.93
24128,기타 식육가공품_맛있닭 소스 닭가슴살 스테이크 자색고구마 까르보나라,14.0,15.33,4.0
24129,기타 식육가공품_맛있닭 소스 닭가슴살 스테이크 토마토,10.67,15.33,3.33
24130,기타 식육가공품_맛있닭 소스 닭가슴살 스테이크 흑마늘,18.0,15.33,2.07
24131,기타 식육가공품_맛있닭 한입 소스 닭가슴살 까르보나라,2.0,23.0,3.6
24132,기타 식육가공품_그릴떡갈비,11.0,15.0,8.0
24133,기타 식육가공품_그릴함박스테이크,11.0,15.0,15.0
24134,기타 식육가공품_김치닭가슴살함박스테이크,10.1,16.7,4.3
24135,기타 식육가공품_꼬마너겟,11.0,15.0,17.0
24136,기타 식육가공품_꽃송이 안심너겟,6.67,20.0,8.67
24137,기타 식육가공품_남도떡갈비,11.0,15.0,20.0
24138,기타 식육가공품_뉴백설너비아니,12.0,13.0,22.0
24139,기타 식육가공품_닭가슴살 더블 함박 스테이크 달콤고구마,12.0,17.0,5.0
24140,기타 식육가공품_닭가슴살 더블 함박 스테이크 리얼치즈,8.0,18.0,8.0
24141,기타 식육가공품_닭가슴살 더블 함박 스테이크 매콤치즈,9.0,18.0,8.0
24142,기타 식육가공품_닭가슴살 한끼 소스인스테이크 갈비맛,13.0,16.0,3.3
24143,기타 식육가공품_닭가슴살소스스테이크 데미그라스,15.0,12.14,3.57
24144,기타 식육가공품_닭가슴살소스스테이크 토마토로제,10.0,14.29,4.29
24145,기타 식육가공품_닭가슴살함박스테이크스파이시,14.0,19.0,2.7
24146,기타 식육가공품_닭가슴살함박스테이크오리지널,13.0,18.0,2.7
24147,기타 식육가공품_닭다리모양 치즈너겟,13.1,12.5,17.8
24148,기타 식육가공품_닭안심 유린기,19.0,14.0,7.0
24149,기타 식육가공품_더프레시 스팀 닭가슴살 고추,5.0,22.0,1.1
24150,기타 식육가공품_더프레시 스팀 닭가슴살 마늘,4.0,22.0,1.3
24151,기타 식육가공품_더프레시 스팀 닭가슴살 오리지널,5.0,20.0,1.4
24152,기타 식육가공품_도톰동그랑땡,8.0,11.0,17.0
24153,기타 식육가공품_곰곰 고기산적,16.2,10.5,20.0
24154,기타 식육가공품_곰곰 곰돌이치킨너겟,17.0,13.0,16.1
24155,기타 식육가공품_곰곰 납작한 떡갈비,9.0,16.0,13.0
24156,기타 식육가공품_곰곰 넓적 떡갈비,10.4,14.7,14.0
24157,기타 식육가공품_곰곰 닭다리 순살치킨가라아게,17.8,12.0,13.0
24158,기타 식육가공품_곰곰 도톰한 동그랑땡,9.9,10.0,18.3
24159,기타 식육가공품_곰곰 동그랑땡,15.4,10.5,10.0
24160,기타 식육가공품_곰곰 매일매일 치킨너겟,20.0,10.0,17.4
24161,기타 식육가공품_곰곰 알찬 치킨 너겟,10.7,15.0,15.0
24162,기타 식육가공품_곰곰 에어프라이어용 멘츠까스,21.0,8.9,28.2
24163,기타 식육가공품_곰곰 통가슴살치킨너겟,11.8,14.6,17.0
24164,기타 식육가공품_곰곰 한입 떡갈비,10.0,16.0,13.0
24165,기타 식육가공품_곰곰 핫크리스피치킨,18.9,16.0,13.0
24166,기타 식육가공품_곰곰함박스테이크,10.0,12.5,17.5
24167,기타 식육가공품_곰표치킨너겟,16.0,14.0,15.0
24168,기타 식육가공품_교촌 리얼 크리스피텐더,18.0,15.0,10.0
24169,기타 식육가공품_국내산 돼지로 만든 너비아니,12.0,13.0,23.0
24170,기타 식육가공품_굿프랜즈 맵닭치킨,16.0,13.0,10.0
24171,기타 식육가공품_굿프랜즈 유럽풍돈까스,13.0,22.0,9.0
24172,기타 식육가공품_굿프랜즈 청양한입떡갈비,12.0,14.0,12.0
24173,기타 식육가공품_궁중 섭산적,6.67,13.33,13.33
24174,기타 식육가공품_리버스낵,8.8,67.7,14.7
24175,기타 식육가공품_안주夜 레드페퍼 매콤고추,20.0,36.67,6.67
24176,기타 식육가공품_bhc 쌀순,19.33,13.67,8.67
24177,기타 식육가공품_Homeplus Signature 순살치킨,12.0,15.0,8.0
24178,기타 식육가공품_HomeplusSignature치킨너겟,12.0,12.0,15.0
24179,기타 식육가공품_the꼬꼬킷 로즈마리 치킨텐더,22.0,13.0,8.0
24180,기타 식육가공품_the슬로우메이드 고소한 탕수육,32.0,9.0,4.4
24181,기타 식육가공품_갈비산적,15.0,13.0,22.0
24182,기타 식육가공품_건강한 국산 돈육과 담백한 두부로 완성한 함박스테이크,5.0,12.5,15.83
24183,기타 식육가공품_고기야채완자,8.5,11.6,12.5
24184,기타 식육가공품_고기완자,10.0,11.0,22.0
24185,기타 식육가공품_고기완자,10.0,10.0,7.0
24186,기타 식육가공품_고래친구치킨너겟,13.0,14.0,15.0
24187,기타 식육가공품_고메 바삭튀겨낸 통등심 돈카츠,14.67,15.33,22.0
24188,기타 식육가공품_고메미니치킨너겟,14.0,14.0,20.0
24189,기타 식육가공품_고메치즈함박스테이크,12.0,11.0,16.0
24190,기타 식육가공품_고메크리스피너겟,16.0,13.0,14.0
24191,기타 식육가공품_고메함박스테이크,12.0,13.0,18.0
24192,기타 식육가공품_고소하게 즐기는 오곡치킨너겟,15.0,13.0,14.0
24193,기타 식육가공품_골드치킨까스,28.46,6.15,1.31
24194,기타 식육가공품_골든치킨너겟,14.0,12.0,14.0
24195,식육간편조리_재료세트(불닭),21.33,12.67,2.67
24196,식육간편조리_재료세트(소불고기),11.67,8.0,8.0
24197,식육간편조리_제일 곱창전골,2.86,7.14,5.36
24198,식육간편조리_진한육수 곱창전골,10.0,6.0,3.2
24199,식육간편조리_춘천 닭갈비,15.0,10.0,12.0
24200,식육간편조리_쿠티크 콘크리스피치킨,21.0,16.0,23.0
24201,식육간편조리_파빌리온 프리미엄 한우 함박스테이크 스파이시로제,11.67,8.33,10.56
24202,식육간편조리_파빌리온 프리미엄 한우 함박스테이크 양송이혼드뷰,13.33,8.89,8.89
24203,식육간편조리_팔덕 닭볶음탕,6.0,27.0,10.0
24204,식육간편조리_한솥 한우 함박스테이크,8.57,7.58,12.88
24205,기타 식육가공품_매실숙성 훈제오리 슬라이스,0.0,16.67,23.33
24206,기타 식육가공품_페퍼로니스낵,14.0,22.0,30.0
24207,기타 식육가공품_포르게타,3.26,23.0,20.11
24208,기타 식육가공품_BLACK PEPPER NEWPO,23.0,28.0,15.0
24209,기타 식육가공품_FIVE SPICES NEWPO,23.0,28.0,15.0
24210,기타 식육가공품_MALA NEWPO,26.0,28.0,16.0
24211,기타 식육가공품_ORIGINAL NEWPO,23.0,28.0,15.0
24212,기타 식육가공품_PORK RIBS NEWPO,23.0,28.0,15.0
24213,기타 식육가공품_WASABI NEWPO,23.0,28.0,15.0
24214,기타 식육가공품_가꾸면 돼지,18.0,28.0,15.0
24215,기타 식육가공품_금돈미락(金豚味樂) 갈비맛,23.0,28.0,15.0
24216,잡곡밥,29.33,5.3,0.87
24217,식육간편조리_맛있는 소고기 장조림,21.4,9.2,4.5
24218,식육간편조리_매운닭갈비,13.0,12.0,3.4
24219,식육간편조리_매운제육볶음,16.0,15.0,8.0
24220,식육간편조리_명품한돈 간장갈비찜,11.0,10.0,7.0
24221,식육간편조리_모노쉐프 체다마요 맥앤치즈볼,19.9,10.7,10.0
24222,식육간편조리_사천식라즈지,14.29,12.05,13.34
24223,식육간편조리_삼원가든 소갈비찜,10.12,10.43,6.23
24224,식육간편조리_성수동905 닭가슴살꿔바로우,24.62,9.23,9.23
24225,식육간편조리_성수동905 칠리깐풍기,26.92,10.77,8.46
24226,식육간편조리_소고기육전,16.0,10.0,16.0
24227,식육간편조리_소불고기,8.0,14.0,4.2
24228,식육간편조리_순살찜닭,3.0,15.0,10.0
24229,식육간편조리_식자재왕플러스 갈릭마요 맥앤치즈 치킨볼,18.69,12.51,10.69
24230,식육간편조리_실속 델리 소떡,30.91,8.0,7.27
24231,식육간편조리_아워홈 도톰 계란옷입은 동그랑땡,10.0,11.0,15.0
24232,식육간편조리_알록달록구슬소떡,43.0,16.0,6.0
24233,식육간편조리_양념갈비,3.0,17.0,11.0
24234,식육간편조리_올스탠다드 해늘찰진순대국,4.98,6.35,1.55
24235,식육간편조리_우삼겹대창전골,4.0,5.0,27.0
24236,식육간편조리_육즙가득 로제비프함박스테이크,10.47,11.3,13.47
24237,식육간편조리_인생 뚝배기불고기,8.75,6.0,2.0
24238,식육간편조리_제육볶음 밀키트,13.85,9.62,15.0
24239,식육간편조리_오리고기(조미훈제),2.37,17.96,21.74
24240,식육간편조리_치킨너겟(냉동),13.5,13.02,16.47
24241,식육간편조리_교촌 매콤 더블치즈치킨,27.0,13.0,18.0
24242,식육간편조리_국물무뼈닭발,6.66,8.09,4.53
24243,식육간편조리_궁 갈비찜,8.4,10.4,9.1
24244,식육간편조리_궁 갈비탕,2.3,3.1,3.0
24245,식육간편조리_궁 꼬리곰탕,0.0,5.31,2.24
24246,식육간편조리_궁 꼬리수육,5.42,13.22,3.05
24247,식육간편조리_규동,9.15,18.72,5.11
24248,식육간편조리_꼬꼬바베큐,20.98,8.0,4.46
24249,식육간편조리_꿔바로우,23.06,9.14,10.4
24250,식육간편조리_더촉촉한 닭가슴살 스테이크 레드크림커리,14.5,15.8,4.2
24251,식육간편조리_더촉촉한 닭가슴살 스테이크 스파이시커리,13.8,15.2,4.1
24252,식육간편조리_델리아 베이컨 양념 밀키트,10.0,21.2,21.2
24253,식육간편조리_돼지등갈비찜,8.0,17.0,11.0
24254,식육간편조리_뚝배기불고기,17.6,4.1,1.7
24255,식육간편조리_레이먼킴 꿔바로우,31.75,8.13,7.37
24256,식육간편조리_렌지쿠캣 마라로제 찜닭,13.92,13.77,8.87
24257,식육간편조리_맛나고 불닭소스 맥앤치즈 치킨볼,2.38,1.0,0.99
24258,식육간편조리_맛나고 체다마요 맥앤치즈 치킨볼,1.99,1.07,1.0
24259,식육간편조리_한우 양지 하얀 육개장,2.1,2.5,1.6
24260,식육간편조리_한우곰국,0.33,2.17,2.33
24261,식육간편조리_한우곰탕육수,0.0,1.6,0.98
24262,식육간편조리_한우도가니탕,0.0,4.4,1.4
24263,식육간편조리_한우도가니탕(멸균),0.3,6.2,3.0
24264,식육간편조리_한우돈마루 한우곰국(냉장),0.2,2.6,0.9
24265,식육간편조리_한우돈마루 한우우족탕(멸균),0.4,9.0,1.5
24266,식육간편조리_한우백프로곰탕,0.2,3.6,0.58
24267,식육간편조리_한우보양탕,0.1,5.9,2.9
24268,식육간편조리_한우사골고기곰탕,0.3,4.3,2.9
24269,식육간편조리_한우사골국,0.0,6.0,1.0
24270,식육간편조리_한우안동국밥,1.0,2.0,2.2
24271,식육간편조리_한우암소갈비탕,1.14,2.9,5.63
24272,식육간편조리_한우영양갈비탕,3.4,4.8,1.8
24273,식육간편조리_한우찐곰탕,0.0,2.8,0.6
24274,식육간편조리_한월관 한우고기곰탕,0.05,4.64,1.19
24275,식육간편조리_함평천지한우 사골곰탕 대용량,0.0,3.35,1.0
24276,식육간편조리_함평천지한우농협맑은한우곰탕,0.2,5.9,1.6
24277,식육간편조리_호랭이곳간 한우사골곰탕,0.0,2.0,2.6
24278,식육간편조리_홍성한우 버섯육개장,2.4,2.4,1.0
24279,식육간편조리_황기한우곰탕,0.0,3.6,1.8
24280,식육간편조리_흑진담,3.34,3.73,0.01
24281,식육간편조리_총각이네 한우고기곰탕(멸균),0.1,2.9,0.8
24282,식육간편조리_총각이네 한우곰국(멸균),0.2,2.6,0.9
24283,식육간편조리_총각이네 한우우족탕(멸균),0.4,9.0,1.5
24284,식육간편조리_최고집 자존심육개장,2.36,1.64,0.73
24285,식육간편조리_최인선 셰프의 키로 갈비탕,0.6,1.9,5.1
24286,식육간편조리_토종닭 능이버섯 찰 백숙,11.18,5.15,2.38
24287,식육간편조리_토종닭 찰백숙,11.18,5.15,2.38
24288,식육간편조리_평창한우마을 산양삼 한우곰탕,0.0,3.67,1.67
24289,식육간편조리_평창한우마을한우곰탕,0.0,3.67,1.67
24290,식육간편조리_푸짐 갈비탕,4.0,4.0,6.0
24291,식육간편조리_풍국면한우사골곰탕,2.17,1.67,2.0
24292,식육간편조리_하림삼계탕眞,4.0,11.0,3.1
24293,식육간편조리_한뽕곰탕,1.0,21.0,3.8
24294,식육간편조리_한뽕왕갈비탕,3.0,4.0,1.9
24295,식육간편조리_한양 갈비탕,0.86,6.0,4.43
24296,식육간편조리_한양 양지육개장,3.71,4.14,2.43
24297,식육간편조리_한양뚝배기 갈비육수,1.0,2.0,0.0
24298,식육간편조리_한양화로 양지육개장,2.0,2.71,2.0
24299,식육간편조리_한우 대파 불고기,7.65,8.62,11.83
24300,식육간편조리_한우 미쁨곰탕,0.0,1.63,0.2
24301,식육간편조리_한우 양지 정통 육개장,3.1,2.6,2.7
24302,식육간편조리_조리기능장 임성근의 뼈없는 한우한마리탕,0.43,4.71,2.71
24303,식육간편조리_조리기능장 임성근의 특 도가니탕,2.86,8.57,6.0
24304,식육간편조리_조리기능장 임성근의 한우 특 내장탕,2.0,3.86,2.86
24305,식육간편조리_조은땅 한우족탕(멸균),0.4,9.0,1.5
24306,식육간편조리_조은땅한우고기곰탕(멸균),0.1,2.9,0.8
24307,식육간편조리_조은땅한우꼬족탕(멸균),7.2,7.91,4.0
24308,식육간편조리_진솔한우 한우고기곰탕(멸균),0.1,2.9,0.8
24309,식육간편조리_진솔한우 한우우족탕(멸균),0.4,9.0,1.5
24310,식육간편조리_진주축산농협 한우육개장,2.4,2.4,1.0
24311,식육간편조리_진한 고기곰탕,0.2,5.2,1.8
24312,식육간편조리_진한 사골곰탕,0.0,1.0,0.3
24313,식육간편조리_진한우곰탕,0.0,3.6,1.8
24314,식육간편조리_찬스푸드 손자사랑 도가니탕,0.17,5.0,1.9
24315,식육간편조리_찬스푸드 엄마정성 푸짐한소갈비탕,0.43,4.86,5.14
24316,식육간편조리_찬스푸드 자녀사랑 뼈없는순살갈비탕,1.0,4.17,4.83
24317,식육간편조리_참고깃간 한우고기곰탕(멸균),0.1,2.9,0.8
24318,식육간편조리_참고깃간 한우곰국(멸균),0.2,2.6,0.9
24319,식육간편조리_참고깃간 한우우족탕(멸균),0.4,9.0,1.5
24320,식육간편조리_참도깨비 못난이 마구리갈비탕,2.0,6.8,6.9
24321,식육간편조리_참도깨비 양지육개장,3.45,2.18,0.82
24322,식육간편조리_청원한우마실 사골곰탕,0.0,3.33,1.0
24323,식육간편조리_육류천왕 한우곰국(냉장),0.2,2.6,0.9
24324,식육간편조리_윤옥순할매감자탕,1.25,4.5,4.5
24325,식육간편조리_윤용현의 한우투뿔이 홀딱빠진 고기곰탕(멸균),0.1,2.9,0.8
24326,식육간편조리_이 푸짐한 돼지국밥,0.6,3.0,2.6
24327,식육간편조리_이것이 진짜 한우사골곰탕,0.0,1.63,0.2
24328,식육간편조리_이준혁의 굉장한 갈비탕,1.63,2.13,3.0
24329,식육간편조리_이푸짐한 순대국 육수,0.25,1.25,0.75
24330,식육간편조리_임성근의 진 갈비탕,1.51,3.6,5.39
24331,식육간편조리_임진수의 가마솥 육개장,1.04,4.14,1.57
24332,식육간편조리_잇츠온 뼈없는 감자탕,4.0,5.8,2.0
24333,식육간편조리_장회장 한우 갈비탕,0.4,3.0,5.6
24334,식육간편조리_정다운 닭다리삼계탕,6.83,5.67,2.83
24335,식육간편조리_정담앤쿡 삼계탕,2.4,9.8,4.4
24336,식육간편조리_정미옥 명품 꼬리곰탕,1.0,10.22,2.44
24337,식육간편조리_정미옥 뼈없는 갈비탕,0.88,6.25,1.88
24338,식육간편조리_정성 가득 진하게 끓인 육수에 아낌없이 들어간 소갈비까지 든든하게 속을 채워줄 특갈비탕 역시 배민이지,0.38,4.0,4.25
24339,식육간편조리_제주고사리육개장,50.0,10.0,10.0
24340,식육간편조리_조가네한우곰국애꼬리곰탕(멸균),1.2,6.4,1.11
24341,식육간편조리_조가네한우꼬리곰탕(멸균),13.0,5.91,3.11
24342,식육간편조리_조가네한우꼬족탕(멸균),7.2,7.91,4.0
24343,식육간편조리_조가네한우우족탕(멸균),0.4,9.0,1.5
24344,식육간편조리_시래기탕,3.3,1.7,1.2
24345,식육간편조리_아이배냇 꼬마 닭다리살 백숙,0.12,4.0,1.05
24346,식육간편조리_아침&한우 / 옛날한우곰탕,0.8,2.0,2.2
24347,식육간편조리_안동국밥,3.38,3.69,2.0
24348,식육간편조리_안일옥 진한 도가니탕,0.15,2.46,4.31
24349,식육간편조리_양곰탕,10.0,44.0,22.0
24350,식육간편조리_양지고기 미역국,0.86,2.86,0.86
24351,식육간편조리_에드워드권 뼈없는 갈비탕,1.5,5.25,1.13
24352,식육간편조리_에드워드권 차돌양지탕,2.0,5.0,1.75
24353,식육간편조리_에드워드권의 차돌양지탕,1.4,3.2,0.18
24354,식육간편조리_영암한우 사골곰탕,1.4,17.0,8.0
24355,식육간편조리_오대오 갈비탕,2.8,4.5,0.7
24356,식육간편조리_오양 내장탕,2.17,2.0,2.33
24357,식육간편조리_오장동갈비탕,0.83,3.83,0.63
24358,식육간편조리_오프라이스 삼원가든 진한도가니탕,0.17,6.5,3.33
24359,식육간편조리_올스탠다드 논현동 송화유수 소 한마리탕,0.73,1.45,1.63
24360,식육간편조리_외할머니댁 갈비탕,0.0,5.0,2.0
24361,식육간편조리_원기보충우리가족 든든한 한끼 한우고기곰탕(멸균),0.1,2.9,0.8
24362,식육간편조리_원기보충우리가족 든든한 한끼 한우곰국(냉동),0.2,2.6,0.91
24363,식육간편조리_원테이블 한우 우거지해장국,1.8,3.6,0.88
24364,식육간편조리_유귀열 꼬리곰탕,0.15,4.31,2.77
24365,식육간편조리_뼈없는 갈비탕(H),2.14,3.48,0.93
24366,식육간편조리_사골국,0.0,6.0,1.0
24367,식육간편조리_사골소고기미역국,0.2,2.0,1.0
24368,식육간편조리_사골육수,0.0,0.49,0.23
24369,식육간편조리_사대부집 곰탕,0.25,36.65,5.3
24370,식육간편조리_삶은갈비,0.0,32.43,12.53
24371,식육간편조리_삼계탕(H),0.41,8.18,5.84
24372,식육간편조리_서진감자탕,3.4,9.4,7.1
24373,식육간편조리_서초 얼큰 소고기국밥,1.72,3.0,0.86
24374,식육간편조리_설렁탕집 소고기미역국,2.2,1.6,0.7
24375,식육간편조리_설로인 한우 사골 오백 곰탕,1.0,2.8,2.0
24376,식육간편조리_설성목장 곱창갈비전골,2.31,4.17,7.46
24377,식육간편조리_소 한 마리 곰탕,0.92,1.54,0.54
24378,식육간편조리_소 한마리 국밥,2.4,2.0,1.87
24379,식육간편조리_소고기시래기국밥,10.0,2.4,0.44
24380,식육간편조리_소소옥우거지감자탕,1.4,6.0,3.4
24381,식육간편조리_속시원한무뼈감자탕,2.2,6.8,1.1
24382,식육간편조리_속시원한뼈없는갈비탕,1.2,5.3,0.8
24383,식육간편조리_수삼품은 진한 삼계탕,3.0,10.0,3.7
24384,식육간편조리_수육갈비탕,3.0,4.43,2.0
24385,식육간편조리_순댓국,4.0,4.0,1.33
24386,식육간편조리_순댓국,2.66,5.99,2.5
24387,식육간편조리_더마앗 돼지국밥 사골육수,0.25,2.5,1.1
24388,식육간편조리_더푸짐한 왕갈비탕,0.9,4.8,3.5
24389,식육간편조리_뚝배기 양곱창 탕,0.0,4.67,2.83
24390,식육간편조리_루솔 한우 100 진한 사골곰탕,0.0,1.33,1.07
24391,식육간편조리_마마리 나주식 한우곰탕,1.0,3.0,0.24
24392,식육간편조리_맑은 한우나주곰탕,0.75,3.75,0.43
24393,식육간편조리_맑은물에대파육개장,2.4,1.8,2.4
24394,식육간편조리_맑은물에사골곰탕,0.2,1.4,1.6
24395,식육간편조리_맑은물에우거지갈비탕,3.58,3.13,2.9
24396,식육간편조리_맑은한우 한우우족탕(멸균),0.4,9.0,1.5
24397,식육간편조리_맘으로 육개장,1.0,3.2,5.8
24398,식육간편조리_목포무안신안축협 한우사골곰탕,0.0,4.0,1.2
24399,식육간편조리_몽실종가돼지국밥 사골육수,0.2,2.5,1.1
24400,식육간편조리_미미의밥상감자탕,1.8,3.9,2.1
24401,식육간편조리_밀양식 돼지국밥국,0.4,4.6,4.0
24402,식육간편조리_박연경의 The 갈비탕,1.88,5.0,2.0
24403,식육간편조리_백년식당 서서갈비 꼬리곰탕,0.66,20.57,6.69
24404,식육간편조리_보돌미역 소갈비탕,0.41,3.58,2.09
24405,식육간편조리_본가 스지 도가니탕,0.29,5.0,1.43
24406,식육간편조리_비젼푸드 산더미 우족꼬리곰탕,1.1,6.1,2.9
24407,식육간편조리_뼈다귀감자탕,4.0,6.0,2.3
24408,식육간편조리_24/7 사골 돼지국밥,0.6,2.4,4.4
24409,식육간편조리_THE뽀얀한우고기곰탕,0.4,3.2,2.4
24410,식육간편조리_THE뽀얀한우곰탕,0.4,3.2,2.8
24411,식육간편조리_가마솥순대국밥 우골육수,13.0,27.0,19.0
24412,식육간편조리_간편한식한우사골곰탕,0.25,1.5,0.78
24413,식육간편조리_거대곰탕육수(반제품),2.81,5.56,2.42
24414,식육간편조리_경복궁 宮 맑은 꼬리곰탕,0.55,3.78,4.59
24415,식육간편조리_계절밥상소고기사골곰탕,0.3,7.3,2.1
24416,식육간편조리_고귀한우사골곰탕,0.0,3.6,1.8
24417,식육간편조리_고기마트愛 한우사골곰국 (냉동),0.2,2.6,0.91
24418,식육간편조리_고기폭탄 육개장,10.0,16.0,11.0
24419,식육간편조리_고명환의 뜻밖에 육개장,2.23,3.73,1.27
24420,식육간편조리_고영숙 듬뿍 도가니탕,0.72,8.93,2.01
24421,식육간편조리_김나운더키친 眞꼬리곰탕,0.2,3.55,4.84
24422,식육간편조리_나주시월당 옛날 사골곰탕,0.06,3.4,1.0
24423,식육간편조리_노다지 한우곱창전골,2.22,3.11,2.67
24424,식육간편조리_노량한우가마솥갈비탕,1.13,1.75,3.13
24425,식육간편조리_농협목우촌 홍삼삼계탕,5.18,7.18,3.65
24426,식육간편조리_능이버섯 삼계탕,9.7,3.48,2.02
24427,식육간편조리_능이버섯 삼계탕(살균),9.7,3.48,2.02
24428,식육간편조리_대만식우육탕 농축액,13.68,4.35,0.52
24429,식육간편조리_참스토리우거지갈비탕,3.2,3.2,1.0
24430,식육간편조리_참스토리육개장,2.6,2.4,1.0
24431,식육간편조리_찹쌀 반계탕,3.83,8.17,2.5
24432,식육간편조리_청안식탁 이북식 닭개장,0.83,4.5,1.33
24433,식육간편조리_콩나물 황태해장국,0.4,1.8,0.62
24434,식육간편조리_특도가니탕,0.2,9.2,1.6
24435,식육간편조리_푹고은 도가니탕,0.05,3.2,0.8
24436,식육간편조리_푹고은 사골설렁탕,0.75,3.25,0.75
24437,식육간편조리_핑크테이블 전통갈비탕,1.67,2.0,1.67
24438,식육간편조리_하림이닭 삼계탕,2.0,9.0,2.5
24439,식육간편조리_하림이닭 자연실록 삼계탕,4.0,8.0,2.8
24440,식육간편조리_한끼뚝딱 우리아이 순살 갈비탕,1.5,3.0,3.75
24441,식육간편조리_한명숙의 한뿌리 우족탕,0.25,2.25,2.75
24442,식육간편조리_한우가마솥도가니탕,0.17,5.0,2.17
24443,식육간편조리_한우가마솥우족탕,0.17,7.83,2.17
24444,식육간편조리_한우사골곰탕,0.4,1.6,2.4
24445,식육간편조리_한인한식 육개장,1.17,2.5,3.67
24446,식육간편조리_해화당 뼈없는갈비탕,0.56,4.11,1.22
24447,식육간편조리_횡성축협한우 고기곰탕,0.67,3.67,1.83
24448,식육간편조리_횡성한우 어린이곰국,1.0,2.0,2.1
24449,식육간편조리_1차 양사골,10.0,44.0,22.0
24450,식육간편조리_24/7 뼈없는 소갈비탕,0.2,5.6,2.2
24451,식육간편조리_정성가득녹두삼계탕,1.0,8.0,2.8
24452,식육간편조리_정정당당 왕갈비탕,1.44,5.89,2.0
24453,식육간편조리_조선호텔 삼계탕,2.0,8.0,2.7
24454,식육간편조리_주부9단 한우갈비탕,1.56,4.0,11.56
24455,식육간편조리_주부9단 한우도가니탕,0.22,3.56,3.78
24456,식육간편조리_즉석삼계탕,5.67,7.56,4.78
24457,식육간편조리_지리산순한한우고기곰탕,0.8,2.6,1.0
24458,식육간편조리_진심삼계탕,3.89,8.0,2.44
24459,식육간편조리_진한 갈비탕,1.67,3.0,1.17
24460,식육간편조리_진한 닭개장,2.91,3.09,2.0
24461,식육간편조리_진한 닭곰탕,1.8,4.8,0.6
24462,식육간편조리_진한 설렁탕,0.2,5.8,0.94
24463,식육간편조리_진한 우거지 곱창전골,4.6,4.8,3.4
24464,식육간편조리_진한 육개장,4.67,2.33,0.83
24465,식육간편조리_진한갈비탕,0.0,3.0,4.6
24466,식육간편조리_진한궁중삼계탕,3.8,9.6,4.2
24467,식육간편조리_진한삼계탕,3.75,9.66,3.41
24468,식육간편조리_진한소내장탕,2.67,3.17,2.83
24469,식육간편조리_진한소머리곰탕,0.7,2.11,1.93
24470,식육간편조리_진한우거지갈비탕,4.5,2.5,2.17
24471,식육간편조리_참스토리감자탕,3.8,5.8,3.7
24472,식육간편조리_참스토리삼계탕,3.89,9.33,2.89
24473,식육간편조리_오세득의 도가니 듬뿍 한우 도가니탕,0.25,2.75,3.25
24474,식육간편조리_오프라이스 삼원가든 진한갈비탕,17.0,31.0,46.0
24475,식육간편조리_옹기네사골곰탕,0.0,2.75,0.49
24476,식육간편조리_왕갈비탕,4.5,5.17,2.33
24477,식육간편조리_외갓집 대왕갈비탕,1.3,3.1,2.1
24478,식육간편조리_외갓집 장항동 진심 순대국,1.69,3.89,2.21
24479,식육간편조리_외갓집 장항동 진심 열순대국,4.3,2.8,1.8
24480,식육간편조리_외갓집 진심 감자탕,2.56,8.33,5.11
24481,식육간편조리_우족탕,0.1,8.72,0.82
24482,식육간편조리_원할머니 우리땅 명품 삼계탕,0.31,7.22,5.52
24483,식육간편조리_유귀열의 The 귀한 도가니탕,0.14,5.0,0.86
24484,식육간편조리_유기농한우 고기곰탕,3.8,2.52,1.6
24485,식육간편조리_이음식 삼계탕,2.89,9.56,2.98
24486,식육간편조리_이혜정의 일품 소한마리 우거지탕,3.2,5.87,1.87
24487,식육간편조리_이혜정의든든한뼈해장국,5.17,7.83,2.5
24488,식육간편조리_이혜정의뜨끈한닭곰탕,1.5,4.17,0.63
24489,식육간편조리_이혜정의화끈한닭개장,3.5,4.83,1.17
24490,식육간편조리_일미순대국,4.0,4.0,2.1
